	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_8238	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV_8239	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	NA	NA
ASV_8240	Eukaryota	Cercozoa	Incertae_Sedis	Incertae_Sedis_or	Incertae_Sedis_fa	Gymnophrys	NA
ASV_8241	Eukaryota	Cercozoa	NA	NA	NA	NA	NA
ASV_8242	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV_8243	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudahrensia	NA
ASV_8244	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8245	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	NA	NA	NA
ASV_8246	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8247	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	NA
ASV_8248	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_8249	Bacteria	Proteobacteria	Gammaproteobacteria	EV818SWSAP88	NA	NA	NA
ASV_8250	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8251	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8252	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_8253	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA	NA
ASV_8254	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Aureispira	NA
ASV_8255	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
ASV_8256	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	NA	NA	NA
ASV_8257	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	NA	NA
ASV_8258	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Carboxylicivirga	NA
ASV_8259	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV_8260	Bacteria	Latescibacterota	NA	NA	NA	NA	NA
ASV_8261	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA	NA
ASV_8262	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	NA
ASV_8263	Eukaryota	Diatomea	NA	NA	NA	NA	NA
ASV_8264	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_8265	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Atelocyanobacterium_(UCYN-A)	NA
ASV_8266	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NA	NA
ASV_8267	Eukaryota	Protalveolata	Syndiniales	Syndiniales_or	Syndiniales_Group_II	NA	NA
ASV_8268	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	Schleiferia	NA
ASV_8269	Eukaryota	Diatomea	Coscinodiscophytina_cl	Coscinodiscophytina_or	Rhizosolenids	NA	NA
ASV_8270	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8271	Eukaryota	Diatomea	Mediophyceae	Mediophyceae_or	Mediophyceae_fa	Chaetoceros	NA
ASV_8272	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	NA	NA
ASV_8273	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8274	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NA	NA	NA
ASV_8275	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8276	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8277	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV_8278	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	NA	NA
ASV_8279	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV_8280	Eukaryota	Euglenozoa	Euglenida	NA	NA	NA	NA
ASV_8281	Eukaryota	Cercozoa	Incertae_Sedis	Incertae_Sedis_or	Incertae_Sedis_fa	Gymnophrys	NA
ASV_8282	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	NA	NA
ASV_8283	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8284	Bacteria	Planctomycetota	Pla3_lineage	NA	NA	NA	NA
ASV_8285	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8286	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	NA
ASV_8287	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_8288	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga	NA
ASV_8289	Bacteria	PAUC34f	NA	NA	NA	NA	NA
ASV_8290	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	NA	NA
ASV_8291	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	NA
ASV_8292	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NA	NA
ASV_8293	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
ASV_8294	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8295	Eukaryota	Protalveolata	Syndiniales	Syndiniales_or	Syndiniales_Group_II	NA	NA
ASV_8296	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	NA	NA	NA
ASV_8297	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	NA
ASV_8298	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA
ASV_8299	Eukaryota	Cercozoa	Incertae_Sedis	Incertae_Sedis_or	Incertae_Sedis_fa	Gymnophrys	NA
ASV_8300	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA	NA
ASV_8301	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8302	Eukaryota	Protalveolata	Syndiniales	Syndiniales_or	Syndiniales_Group_II	NA	NA
ASV_8303	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8304	Bacteria	NA	NA	NA	NA	NA	NA
ASV_8305	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster	NA
ASV_8306	Eukaryota	Protalveolata	Syndiniales	Syndiniales_or	Syndiniales_Group_II	NA	NA
ASV_8307	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Phyllopharyngea	Pithites	NA
ASV_8308	Bacteria	NA	NA	NA	NA	NA	NA
ASV_8309	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8310	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	NA
ASV_8311	Bacteria	Planctomycetota	NA	NA	NA	NA	NA
ASV_8312	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	NA
ASV_8313	Eukaryota	Euglenozoa	Euglenida	NA	NA	NA	NA
